_id,createdAt,deptName,isDelete,updatedAt
6411b8daf6e54f1390c02d7a,2023-03-15T12:23:54.468Z,HR,false,2023-03-15T12:23:54.468Z
64129245f557daee5dce0dbe,2023-03-16T03:51:33.842Z,HOD,false,2023-03-16T03:51:33.842Z
